id,name,category,conductivity_w_mk,emissivity,density_kg_m3,spec_heat_cap_J_kgK,roughness,thermal_absorptance,solar_absorptance,visible_absorptance,color,source,notes
2115,"Air layer, unventilated, horizontal, thickness: 5 mm",Air: Horiz. Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2142,"Air layer, unventilated, horizontal, thickness: 60 mm",Air: Horiz. Heatflow,0.333,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2143,"Air layer, unventilated, horizontal, thickness: 65 mm",Air: Horiz. Heatflow,0.361,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2116,"Air layer, unventilated, horizontal, thickness: 6 mm",Air: Horiz. Heatflow,0.05,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2144,"Air layer, unventilated, horizontal, thickness: 70 mm",Air: Horiz. Heatflow,0.389,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2145,"Air layer, unventilated, horizontal, thickness: 75 mm",Air: Horiz. Heatflow,0.417,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2117,"Air layer, unventilated, horizontal, thickness: 7 mm",Air: Horiz. Heatflow,0.054,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2146,"Air layer, unventilated, horizontal, thickness: 80 mm",Air: Horiz. Heatflow,0.444,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2147,"Air layer, unventilated, horizontal, thickness: 85 mm",Air: Horiz. Heatflow,0.472,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2118,"Air layer, unventilated, horizontal, thickness: 8 mm",Air: Horiz. Heatflow,0.059,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
