category,name,conductivity,emissivity,source,comments,color_argb
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 10 mm",0.067,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 11 mm",0.071,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 12 mm",0.076,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 13 mm",0.08,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 14 mm",0.084,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 15 mm",0.088,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 16 mm",0.089,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 17 mm",0.094,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 18 mm",0.1,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 19 mm",0.106,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 20 mm",0.111,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 21 mm",0.117,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 22 mm",0.122,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 23 mm",0.128,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 24 mm",0.133,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 25 mm",0.139,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 30 mm",0.167,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 35 mm",0.194,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 40 mm",0.222,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 45 mm",0.25,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 50 mm",0.278,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 55 mm",0.306,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 60 mm",0.333,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 65 mm",0.361,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 70 mm",0.389,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 75 mm",0.417,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 80 mm",0.444,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 85 mm",0.472,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 90 mm",0.5,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 95 mm",0.528,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 100 mm",0.556,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 110 mm",0.611,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 120 mm",0.667,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 130 mm",0.722,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 140 mm",0.778,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 150 mm",0.833,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 160 mm",0.889,0.9,ISO 6946 Method,,"255,175,240,255"
